pre_miRNA	arm_5p_acc	arm_5p_name	arm_3p_acc	arm_3p_name
MI0003820	MIMAT0003884	hsa-miR-454-5p	MIMAT0003885	hsa-miR-454-3p
MI0005717	MIMAT0004975	hsa-miR-509-3-5p	MIMAT0002881	hsa-miR-509-3p
MI0022210	MIMAT0025452	hsa-miR-548ay-5p	MIMAT0025453	hsa-miR-548ay-3p
MI0003610	MIMAT0026620	hsa-miR-598-5p	MIMAT0003266	hsa-miR-598-3p
MI0014130	MIMAT0019197	hsa-miR-3117-5p	MIMAT0014979	hsa-miR-3117-3p
MI0017330	MIMAT0019791	hsa-miR-4697-5p	MIMAT0019792	hsa-miR-4697-3p
MI0022594	MIMAT0027398	hsa-miR-6749-5p	MIMAT0027399	hsa-miR-6749-3p
MI0017287	MIMAT0019726	hsa-miR-4659a-5p	MIMAT0019727	hsa-miR-4659a-3p
MI0022657	MIMAT0027524	hsa-miR-6812-5p	MIMAT0027525	hsa-miR-6812-3p
MI0000083	MIMAT0000082	hsa-miR-26a-5p	MIMAT0004499	hsa-miR-26a-1-3p
MI0022560	MIMAT0025857	hsa-miR-892c-5p	MIMAT0025858	hsa-miR-892c-3p
MI0022220	MIMAT0025472	hsa-miR-6508-5p	MIMAT0025473	hsa-miR-6508-3p
MI0000479	MIMAT0000451	hsa-miR-150-5p	MIMAT0004610	hsa-miR-150-3p
MI0022596	MIMAT0027402	hsa-miR-6751-5p	MIMAT0027403	hsa-miR-6751-3p
MI0022639	MIMAT0027488	hsa-miR-6794-5p	MIMAT0027489	hsa-miR-6794-3p
MI0000471	MIMAT0000444	hsa-miR-126-5p	MIMAT0000445	hsa-miR-126-3p
MI0022631	MIMAT0027472	hsa-miR-6786-5p	MIMAT0027473	hsa-miR-6786-3p
MI0019110	MIMAT0019940	hsa-miR-4436b-5p	MIMAT0019941	hsa-miR-4436b-3p
MI0003133	MIMAT0002814	hsa-miR-432-5p	MIMAT0002815	hsa-miR-432-3p
MI0016076	MIMAT0018098	hsa-miR-3675-5p	MIMAT0018099	hsa-miR-3675-3p
MI0017302	MIMAT0019752	hsa-miR-4671-5p	MIMAT0019753	hsa-miR-4671-3p
MI0000067	MIMAT0000067	hsa-let-7f-5p	MIMAT0004486	hsa-let-7f-1-3p
